,mkt_cap,beta,book_value,sector,eps,month_ago,year_ago,prev_date,analysis_date,trade_date,pred_date,volume
CCL,33920923648,1.242774,24108000000,Consumer Cyclical,4.2710002420985145,45.91999816894531,57.32323837280274,47.27000045776367,47.349998474121094,47.38000106811523,47.22999954223633,2531100.0
AXS,5155293696,0.179704,4525156000,Financial Services,0.4199999863236735,58.43000030517578,52.771484375,61.72999954223633,61.41999816894531,61.36999893188477,63.66999816894531,400900.0
MLM,14020452352,0.989967,4972474000,Basic Materials,7.959999783933218,226.72000122070312,201.57174682617188,223.82000732421875,223.9900054931641,246.33999633789062,247.75,760300.0
ESTC,7564043776,,263012000,Technology,,74.19999694824219,,102.58999633789062,100.37999725341795,100.45999908447266,98.83000183105469,1241200.0
HPP,5447894016,0.6157090000000001,3455335000,Real Estate,0.05999999659960348,32.919998168945305,32.96677017211914,35.189998626708984,35.290000915527344,35.40999984741211,35.29999923706055,671800.0
REZI,2320257024,,1592000000,Industrials,3.315999883562987,21.100000381469727,,19.31999969482422,18.90999984741211,19.100000381469727,18.86000061035156,1159300.0
TMK,10103577600,1.008216,6043426000,Financial Services,6.325999762654548,88.27095794677734,86.84197235107422,92.93000030517578,91.9000015258789,91.72000122070312,91.31999969482422,478000.0
JBGS,5248439296,0.6990000000000001,2996751000,Real Estate,0.5500000105390906,38.93999862670898,35.84308242797852,39.349998474121094,39.13999938964844,39.5,39.13000106811523,258700.0
BMRN,14293447680,1.210097,2936627000,Healthcare,,84.02999877929688,102.02999877929688,81.11000061035156,79.81999969482422,81.0,79.31999969482422,1193100.0
AVY,9826011136,1.482658,1062500000,Industrials,2.8310002308092117,113.02999877929688,109.16345977783205,117.19000244140624,116.4000015258789,116.08999633789062,114.87000274658205,394400.0
LFUS,4600897024,1.271591,1505257000,Technology,6.547999844174003,176.72999572753906,219.80616760253903,186.47000122070312,186.07000732421875,188.83999633789062,168.9600067138672,272200.0
EV,5168123904,1.549023,1088983000,Financial Services,3.3440002050552184,42.46814346313477,51.17548370361328,45.405189514160156,44.78999710083008,45.02999877929688,44.5,715500.0
AAP,10978614272,1.122373,3547223000,Consumer Cyclical,5.8560001750983846,151.7100067138672,147.56936645507812,152.6199951171875,153.0399932861328,151.8000030517578,150.63999938964844,782500.0
CXP,2553292544,0.879101,2742731000,Real Estate,0.5339999530549492,20.6299991607666,22.284177780151367,21.90999984741211,21.84000015258789,22.01000022888184,21.93000030517578,491400.0
ATVI,37113036800,0.9379370000000001,11596000000,Technology,2.28,47.27999877929688,69.93818664550781,47.9900016784668,48.45000076293945,48.290000915527344,48.7400016784668,4750900.0
EVRG,14938798080,0.097412,9422900000,Utilities,2.375000004850899,60.06999969482422,55.18530654907226,60.72000122070313,61.20000076293945,60.81999969482422,60.4900016784668,1970200.0
EA,26337425408,1.200634,5331000000,Technology,3.3299998362540872,99.13999938964844,127.81999969482422,89.51000213623047,88.87000274658203,88.56999969482422,92.5,5162900.0
DE,53971738624,1.330441,11919500000,Industrials,10.27100033788249,164.82000732421875,137.18011474609378,170.38999938964844,170.25999450683594,170.02999877929688,165.64999389648438,1459600.0
FHN,5087142400,1.478987,4535026000,Financial Services,1.7989999858555286,14.710000038146973,17.718870162963867,16.389999389648438,16.280000686645508,16.690000534057614,16.399999618530273,4588200.0
VMI,3021456384,1.6001049999999999,1127014000,Industrials,4.538999789499945,123.37999725341795,140.13272094726562,138.58000183105472,138.24000549316406,139.03999328613278,137.60000610351562,88400.0
SPG,49327800320,0.536954,3170293000,Real Estate,7.646999481992905,159.92999267578125,168.9414520263672,158.3300018310547,159.63999938964844,160.2100067138672,162.1999969482422,1042800.0
AMD,36211965952,3.372347,1788000000,Technology,0.24900002097312,30.739999771118164,19.100000381469727,34.02000045776367,33.47999954223633,33.86999893188477,30.45000076293945,45922000.0
MYL,10711301120,2.0987150000000003,11891600000,Healthcare,0.4600000106256018,18.96999931335449,36.61000061035156,18.459999084472656,20.780000686645508,21.43000030517578,20.899999618530273,61207800.0
KLAC,22547605504,1.630044,2849093000,Technology,8.395001078033433,117.73999786376952,113.48596954345705,139.44999694824222,139.50999450683594,140.0,136.32000732421878,922500.0
LPT,7877956608,0.634143,3332849000,Real Estate,2.660000028036891,49.5,42.37401580810547,52.66999816894531,53.13000106811523,52.79999923706055,52.29999923706055,562300.0
